epoch,cls_loss,mmd,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.530322836684476,0.616455907304886,0.9487189675962666,0.8724707490734763,0.9132146792808628,0.9580838323353293,0.8780487804878049,0.908315565031983,0.9114681319835353,1
1,0.2265075145041561,0.5155855191165003,0.9428904989399471,0.8986066866656335,0.9174008952542712,0.9491017964071856,0.8975609756097561,0.9125799573560768,0.9196326936199505,1
2,0.20296641806223123,0.48797401169250754,0.9578351084189375,0.8804909544868188,0.9418883803827701,0.9640718562874252,0.8804878048780488,0.9381663113006397,0.9267381477628421,1
3,0.18970558961183567,0.4745455069348143,0.9609963211014005,0.8801627360590153,0.9460176386815231,0.9670658682634731,0.8804878048780488,0.9402985074626866,0.9290588986139796,1
4,0.22316916727373753,0.4768050979510904,0.9533073027357476,0.885526710544405,0.9324011144381675,0.9610778443113772,0.8829268292682927,0.9253731343283582,0.9237450425727735,0
5,0.20466699876955577,0.45014958898422164,0.9501916759092713,0.8652196237879852,0.9199365005828621,0.9580838323353293,0.8609756097560975,0.9232409381663113,0.9117826000933729,0
6,0.21083243209593402,0.4781510810840306,0.9356113347673528,0.8859816423665811,0.9242904043172943,0.9461077844311377,0.8853658536585366,0.9211087420042644,0.9152944604837426,0
7,0.19970637361697963,0.453512464544456,0.9622394006651304,0.8646371507776023,0.9179091999343177,0.9670658682634731,0.8682926829268293,0.9189765458422174,0.9149285837923502,0
8,0.20037649839822883,0.47231636765261586,0.9503058472785548,0.8638044026303733,0.9449565607274479,0.9550898203592815,0.8658536585365854,0.9445628997867804,0.919688936878792,0
