method,src_photo_f1,src_art_painting_f1,src_cartoon_f1,mean_src_f1,mean_src_acc,target_acc,target_f1,target_acc_change,separability
source_only,0.9673303966855572,0.8735961011705067,0.9592364866038123,0.9333876614866256,0.9322924279892034,0.6777806057520998,0.6821883135655525,0.0,0.9917582417582418
dan,0.9584157666773846,0.9036765770060394,0.9355630990637671,0.9325518142490637,0.9328624772401217,0.5920081445660473,0.5722776602152414,-0.08577246118605242,0.8379120879120879
dann,0.8557929620354592,0.806645125268925,0.8614107582262829,0.8412829485102223,0.8510956349301501,0.19699669127004327,0.05383475152205245,-0.4807839144820565,1.0
cdan,0.9495138246489223,0.8820797663736426,0.9351296022684875,0.9222410644303508,0.9234666762994891,0.6765080173072029,0.5872141708248609,-0.0012725884448968605,0.9903846153846154
dan_warmup,0.9545147305245869,0.9047755018057717,0.9521150766719126,0.9371351030007572,0.938363337810312,0.6612369559684398,0.6037177521768792,-0.016543649783659964,0.8310439560439561
dann_fix,0.9711791007241348,0.919061804124895,0.9606762137824791,0.950305706210503,0.9517850668209581,0.04428607788241283,0.01673531664866351,-0.633494527869687,0.9986263736263736
cdan_fix,0.9710851212747545,0.9320610733178692,0.9479372293678401,0.9503611413201547,0.9493512429091581,0.6963603970475948,0.7335707693304921,0.01857979129549503,0.9958791208791209
