name,auroc_near,auroc_far,auroc_all,tau,test_accept,near_reject,far_reject,fpr95_near,fpr95_far,csa,score
vanilla,0.7824485625,0.8841053125000001,0.8332769375,-5.725428104400635,0.9518,0.29,0.52125,0.71,0.47875,0.9459,MLS
gcsc,0.8159284375,0.9041432500000001,0.86003584375,-6.231584548950195,0.9443,0.375,0.59625,0.625,0.40375,0.9506,MLS
proser,0.8134394375,0.8762088750000001,0.8448241562500001,-4.871307373046875,0.9487,0.32625,0.49375,0.67375,0.50625,0.9411,MLS
proser_placeholder,0.8049995624999999,0.885345625,0.8451725937500001,0.6113535761833191,0.952,0.32,0.5075,0.68,0.4925,0.9411,placeholder
