run,lambda_dg,mean_src_f1,worst_src_f1,source_separability,delta_sharpness,target_acc
dan_dg_lambda0.1,0.1,0.9475364134734172,0.9119725207311423,0.7541528239202658,0.4228600859642029,0.6803257826418936
dan_dg,1.0,0.05066996495567924,0.04207792207792208,0.4584717607973422,0.008279204368591309,0.04072283023670145
dan_dg_lambda10,10.0,0.05066996495567924,0.04207792207792208,0.33222591362126247,0.02262866497039795,0.04072283023670145
