class,dan_dg_delta_vs_erm,dan_delta_vs_source_only,dg_minus_dan
dog,-0.2862694300518135,0.06347150259067358,-0.34974093264248707
elephant,-0.9716216216216216,-0.27297297297297296,-0.6986486486486486
giraffe,-0.5378486055776892,-0.010624169986719778,-0.5272244355909694
guitar,-0.9095394736842105,-0.15625,-0.7532894736842105
horse,-0.7573529411764706,-0.19362745098039214,-0.5637254901960784
house,-0.65,0.35,-1.0
person,0.40625,0.30625,0.09999999999999998
