task3_method,task2_method,t3_target_acc,t2_target_acc,d_target_acc,t3_target_f1,t2_target_f1,d_target_f1,t3_source_sep_3way,t2_sep_src_vs_tgt
erm,source_only,0.6777806057520998,0.6777806057520998,0.0,0.6821883135655525,0.6821883135655525,0.0,0.8803986710963455,0.9931318681318682
dan_dg,dan,0.04072283023670145,0.5920081445660473,-0.5512853143293459,0.011179820424134438,0.5722776602152414,-0.561097839791107,0.4584717607973422,0.8379120879120879
