method,src_photo_f1,src_art_painting_f1,src_cartoon_f1,src_photo_acc,src_art_painting_acc,src_cartoon_acc,mean_src_f1,worst_src_f1,worst_src_f1_domain,mean_src_acc,worst_src_acc,worst_src_acc_domain,target_acc,target_f1,target_acc_change_vs_erm,source_separability,delta_sharpness
erm,0.9673303966855572,0.8735961011705067,0.9592364866038123,0.9730538922155688,0.8707317073170732,0.9530916844349681,0.9333876614866256,0.8735961011705067,art_painting,0.9322924279892034,0.8707317073170732,art_painting,0.6777806057520998,0.6821883135655525,0.0,0.8803986710963455,0.7854382991790771
dan_dg,0.058503401360544216,0.05142857142857143,0.04207792207792208,0.25748502994011974,0.21951219512195122,0.17270788912579957,0.05066996495567924,0.04207792207792208,cartoon,0.21656837139595686,0.17270788912579957,cartoon,0.04072283023670145,0.011179820424134438,-0.6370577755153983,0.4584717607973422,0.008279204368591309
sam,0.9710175791700523,0.9234661984504672,0.9546170493800296,0.9760479041916168,0.9219512195121952,0.9488272921108742,0.9497002756668497,0.9234661984504672,art_painting,0.9489421386048954,0.9219512195121952,art_painting,0.6281496564011199,0.6545526982098144,-0.04963094935097989,0.8704318936877077,0.2253444939851761
dan_dg_warmup,0.9609963211014005,0.8801627360590153,0.9460176386815231,0.9670658682634731,0.8804878048780488,0.9402985074626866,0.9290588986139796,0.8801627360590153,art_painting,0.9292840602014029,0.8804878048780488,art_painting,0.7325019088826673,0.7507790700300964,0.054721303130567556,0.6976744186046512,0.2657085061073303
