epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.4963732248750226,0.33842997774114747,0.0,0.9281459019887456,0.8489747610572831,0.9270171061839833,0.937125748502994,0.8560975609756097,0.9189765458422174,0.9013792564100039,1
1,0.2207660678512614,0.2534800497769135,0.0,0.9231159683852724,0.8262618194471842,0.9033421210343098,0.9401197604790419,0.8390243902439024,0.8997867803837953,0.8842399696222554,0
2,0.15563067022867025,0.2429381027597512,0.0,0.9715276700479053,0.8996027764534846,0.9382235114700139,0.9760479041916168,0.9,0.9317697228144989,0.9364513193238014,1
3,0.1267992566555298,0.2201684008678192,0.0,0.9647346111546186,0.9105012831269953,0.9600042077034006,0.9700598802395209,0.9073170731707317,0.9552238805970149,0.9450800339950048,1
4,0.08232556483845956,0.21254278932298934,0.0,0.9406319433705963,0.9049727263102625,0.9456213023324852,0.9491017964071856,0.9073170731707317,0.9402985074626866,0.9304086573377813,0
5,0.07378551401306871,0.21147803837442633,0.0,0.9624117872924896,0.8723237991084065,0.9422404061219447,0.9670658682634731,0.8658536585365854,0.9360341151385928,0.9256586641742803,0
6,0.06799018419040322,0.21077534717879273,0.0,0.9446391284372432,0.8693727462438182,0.93372709602149,0.9520958083832335,0.8634146341463415,0.9275053304904051,0.9159129902341837,0
7,0.05719285768633387,0.2033202442629584,0.0,0.9539711022253092,0.9418680430614097,0.9544715637107554,0.9610778443113772,0.9414634146341463,0.9488272921108742,0.9501035696658248,1
8,0.05196752600036929,0.20435155729942134,0.0,0.9742304658580329,0.8956519541557766,0.9396225629177962,0.9790419161676647,0.8951219512195122,0.9317697228144989,0.936501660977202,0
9,0.04174228811139365,0.19932420500393572,0.0,0.9639064557953716,0.8831691892209659,0.9463689043285799,0.9700598802395209,0.8804878048780488,0.9402985074626866,0.9311481831149724,0
10,0.026415359705980187,0.1891098721274014,0.0,0.9682931097126799,0.9179184727884778,0.9542215744180895,0.9700598802395209,0.9121951219512195,0.9488272921108742,0.9468110523064158,0
11,0.03606996573245421,0.19032353720641487,0.0,0.9716423853497986,0.8985772467169771,0.9293321938083859,0.9760479041916168,0.9,0.9232409381663113,0.9331839419583873,0
12,0.04902914006780865,0.1919371958436637,0.0,0.9448712760132904,0.8327614960257869,0.9414385956680533,0.9550898203592815,0.8463414634146341,0.9381663113006397,0.9063571225690435,0
