epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.5659137994528111,0.6675612350990032,0.7729885259578968,0.941203261630876,0.872504588244668,0.8841192405612519,0.9491017964071856,0.8707317073170732,0.8805970149253731,0.8992756968122654,1
1,0.1938020733799877,0.6541516308126778,0.7673440249682647,0.9329889545859427,0.8858842524753598,0.8759189575582477,0.9431137724550899,0.8853658536585366,0.8784648187633263,0.8982640548731834,0
2,0.1432964379917555,0.7298543726282166,0.25800493254963985,0.9635026455269212,0.8891873482391806,0.9188175202866918,0.9670658682634731,0.8926829268292683,0.9125799573560768,0.9238358380175978,1
3,0.11090043970536248,0.7028776189963806,0.49476601234797773,0.9504519980061319,0.901967259881797,0.9365892921381291,0.9580838323353293,0.9048780487804878,0.9317697228144989,0.9296695166753528,1
4,0.07665531427511749,0.6994709807076478,0.43565271992988774,0.9556971160980503,0.9169196131228861,0.9349721225993746,0.9610778443113772,0.9146341463414634,0.9317697228144989,0.9358629506067704,1
5,0.0647428812260689,0.6989571660610255,0.4094827686037336,0.9709349537654307,0.8882420159545161,0.9418620619768107,0.9760479041916168,0.8902439024390244,0.9360341151385928,0.9336796772322525,0
6,0.05967393964141225,0.6974476860661812,0.4012725885425295,0.9608603146777231,0.9073027860715935,0.9483789032828623,0.9670658682634731,0.9097560975609756,0.9445628997867804,0.938847334677393,1
7,0.03522975230787537,0.6933925242846822,0.504105106803584,0.9649626600519329,0.9146108614653806,0.9344949736566919,0.9700598802395209,0.9170731707317074,0.9339019189765458,0.9380228317246685,0
8,0.037406178915120304,0.6959782242774963,0.40979065184522734,0.9641774002758756,0.9016165434470557,0.949880982174445,0.9700598802395209,0.9048780487804878,0.9488272921108742,0.9385583086324588,0
9,0.037573121197512174,0.69925593771958,0.4024014885496036,0.968675535063728,0.9245991730239878,0.9371036388573157,0.9730538922155688,0.9243902439024391,0.9317697228144989,0.9434594489816771,1
10,0.04120612005064726,0.6996446812681376,0.4001436875077891,0.9582153298003996,0.9236347659433121,0.9378370017519523,0.9640718562874252,0.926829268292683,0.9339019189765458,0.9398956991652213,0
11,0.022549668587492622,0.6990395581780984,0.31968391741731483,0.960988824452139,0.932974995815273,0.9490311376540006,0.9670658682634731,0.9365853658536586,0.9445628997867804,0.9476649859738041,1
12,0.024398500563371818,0.6973187703217192,0.37500001108411496,0.9602592144283086,0.9277653999364691,0.9358301733327752,0.9670658682634731,0.926829268292683,0.9317697228144989,0.9412849292325177,0
13,0.03146189031906544,0.6960547399051084,0.4191297336385168,0.9548830003843957,0.901088882907706,0.9404572960067829,0.9610778443113772,0.9048780487804878,0.9381663113006397,0.9321430597662949,0
14,0.022259464170390524,0.7003047621896115,0.3133210262531424,0.9481946973276935,0.9282354905490514,0.930029394740439,0.9550898203592815,0.926829268292683,0.9253731343283582,0.9354865275390614,0
15,0.030199949485761844,0.6987557091149204,0.33477012487357766,0.971406455921523,0.8985883660389818,0.953112070583799,0.9760479041916168,0.8975609756097561,0.9488272921108742,0.9410356308481012,0
16,0.01430182104979933,0.6979724289161231,0.3480090402764053,0.9711791007241348,0.919061804124895,0.9606762137824791,0.9760479041916168,0.9219512195121952,0.9573560767590619,0.950305706210503,1
17,0.022983309594343297,0.6988947514829964,0.4375000135064712,0.9603405915664422,0.9097963164071995,0.9393859967413007,0.9610778443113772,0.9121951219512195,0.9360341151385928,0.9365076349049808,0
18,0.020512469478385222,0.6964427499935545,0.3902914728143532,0.9657654401298723,0.9023244115429955,0.9418826650684332,0.9700598802395209,0.9024390243902439,0.9360341151385928,0.9366575055804337,0
19,0.025767777491677853,0.6951798091968292,0.44971265831017143,0.9645159913408403,0.9139015880039695,0.9483938463344094,0.9700598802395209,0.9146341463414634,0.9424307036247335,0.9422704752264064,0
20,0.01742157333469404,0.7004823722862845,0.28366174797522903,0.9508982758079529,0.9213646029542392,0.9574020995022728,0.9550898203592815,0.9170731707317074,0.9552238805970149,0.9432216594214883,0
21,0.01442581285888357,0.6962833712840902,0.39583334561639233,0.9723497414629757,0.911781731315401,0.9521508471499053,0.9760479041916168,0.9121951219512195,0.9488272921108742,0.9454274399760939,0
