epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.5040130775073185,0.0,0.0,0.9575802601742451,0.8797712136211056,0.9135622750369087,0.9640718562874252,0.8780487804878049,0.906183368869936,0.9169712496107532,1
1,0.23144554944130882,0.0,0.0,0.9406566957202589,0.8621196406983019,0.9049628492866137,0.9491017964071856,0.8609756097560975,0.8997867803837953,0.9025797285683915,0
2,0.1818300125629554,0.0,0.0,0.9487196908048766,0.881963062771417,0.9301036885853865,0.9550898203592815,0.8853658536585366,0.9275053304904051,0.9202621473872267,1
3,0.11788260220940537,0.0,0.0,0.9373869617866987,0.9017505236273203,0.9454673885628911,0.9461077844311377,0.9,0.9402985074626866,0.92820162465897,1
4,0.10837271136318889,0.0,0.0,0.9440995452860937,0.8762089949769237,0.9256874990232605,0.9520958083832335,0.8780487804878049,0.9253731343283582,0.915332013095426,0
5,0.07741859939386334,0.0,0.0,0.9449046441496478,0.8657234606839245,0.9399499916852179,0.9520958083832335,0.8560975609756097,0.9360341151385928,0.9168593655062635,0
6,0.08417548763716542,0.0,0.0,0.9570311191671143,0.9273037259150845,0.9377690694903571,0.9640718562874252,0.926829268292683,0.9317697228144989,0.9407013048575186,1
7,0.07602165447150327,0.0,0.0,0.9422446554258569,0.8909031924316233,0.9486008473608611,0.9491017964071856,0.8951219512195122,0.9445628997867804,0.9272495650727803,0
8,0.06478303589200698,0.0,0.0,0.954801975167235,0.8997184924703011,0.9473827347440081,0.9610778443113772,0.9048780487804878,0.9402985074626866,0.9339677341271814,0
9,0.0566526927775646,0.0,0.0,0.964102818869917,0.9138947379634256,0.9469178267810964,0.9700598802395209,0.9146341463414634,0.9402985074626866,0.9416384612048131,1
10,0.052004845865676406,0.0,0.0,0.9398063747295813,0.890175643051063,0.9163043138982988,0.9431137724550899,0.8878048780487805,0.9019189765458422,0.9154287772263143,0
11,0.06528270672191723,0.0,0.0,0.9290985738373745,0.8782719393117925,0.9419794933428617,0.9401197604790419,0.8804878048780488,0.9381663113006397,0.9164500021640095,0
12,0.0493864977039902,0.0,0.0,0.9507993171132032,0.9050927498028718,0.9412500874341995,0.9520958083832335,0.9073170731707317,0.9360341151385928,0.9323807181167582,0
13,0.025706051325929822,0.0,0.0,0.9612464394687293,0.8984910766236732,0.9474216498840633,0.9670658682634731,0.9,0.9424307036247335,0.9357197219921553,0
14,0.07890786569532345,0.0,0.0,0.9285352067428491,0.8409877721380994,0.9144054648766612,0.9401197604790419,0.8463414634146341,0.9232409381663113,0.8946428145858699,0
