epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.5520441593794987,0.6760933081357937,0.7287561758398422,0.9409462915601023,0.8390104078931858,0.8794165548618984,0.9520958083832335,0.8365853658536585,0.8678038379530917,0.8864577514383954,1
1,0.3026724462053312,0.6720436114836209,0.6486042878897906,0.9043906106035131,0.792413960435736,0.893839638486749,0.9191616766467066,0.7878048780487805,0.8891257995735607,0.8635480698419994,0
2,0.7522886241946755,1.850109363717986,0.580049279875356,0.9143183465109049,0.8019978679240539,0.8855673639382518,0.9281437125748503,0.824390243902439,0.8955223880597015,0.8672945261244035,0
3,0.48023264465699883,0.922257215665479,0.5818965697817027,0.9436299464346302,0.88089089391652,0.9100239683625412,0.9520958083832335,0.8780487804878049,0.9019189765458422,0.911514936237897,1
4,0.9566369408792059,1.6054894811120526,0.5499794906730135,0.9399044517348237,0.8806929831301111,0.9260242210682295,0.9461077844311377,0.875609756097561,0.9168443496801706,0.9155405519777214,1
5,1.191336030616503,2.3385610690551437,0.5779967334470139,0.9553852889604748,0.8696536735770558,0.8621709753147082,0.9610778443113772,0.8682926829268293,0.8678038379530917,0.8957366459507462,0
6,0.649955071759952,1.659587489853939,0.5542898356474092,0.9350738382394441,0.8776457458518412,0.9151524795388796,0.9401197604790419,0.8804878048780488,0.9125799573560768,0.9092906878767216,0
7,0.5093366607437875,0.6989257476599933,0.5827175877951636,0.9572882375330324,0.8476002966786981,0.8996791429122257,0.9640718562874252,0.8585365853658536,0.8933901918976546,0.9015225590413186,0
8,2.812704228363952,10.750361859798431,0.5844622517160594,0.9495138246489223,0.8820797663736426,0.9351296022684875,0.9550898203592815,0.8878048780487805,0.9275053304904051,0.9222410644303508,1
9,0.9907317384638769,1.7475418532129579,0.5173440223256943,0.9408813352599552,0.8767318714114763,0.9062614933339789,0.9461077844311377,0.8780487804878049,0.9104477611940298,0.9079582333351368,0
10,33.17716416906855,60.55291428266488,0.5433087188915666,0.9483024138196553,0.8487194310020525,0.8997225445161555,0.9550898203592815,0.8585365853658536,0.8933901918976546,0.8989147964459544,0
11,4176424.5014326316,4398666.994452059,0.49517652906220533,0.04132125184756763,0.06348435680844212,0.046732912493907194,0.09281437125748503,0.16585365853658537,0.14925373134328357,0.05051284038330565,0
12,94022.02599714634,39022.79338477669,0.5747126586037904,0.9009833642786873,0.8686084624247276,0.8290902663713531,0.9101796407185628,0.8682926829268293,0.8059701492537313,0.8662273643582559,0
13,1936959.1643312974,1191603.9720200635,0.5462849043272986,0.65738561390213,0.47426650299355494,0.6357831986508079,0.7275449101796407,0.5146341463414634,0.6204690831556503,0.5891451051821642,0
