epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,1.2513210653795361,10.963242669998131,0.5363300625289896,0.711349554986773,0.6195829255432195,0.49120279636918773,0.7994011976047904,0.6902439024390243,0.5543710021321961,0.6073784256330601,1
1,26.123119642065717,180.30459844831176,0.4761904878128926,0.7581609715661457,0.637241885507308,0.5875510492635364,0.7934131736526946,0.6536585365853659,0.5842217484008528,0.6609846354456633,1
2,229.28000206570027,612.1835130832245,0.6052955800089342,0.7930380822309687,0.735085054195111,0.7510245537283479,0.8263473053892215,0.7292682926829268,0.7398720682302772,0.7597158967181424,1
3,10.869786619369325,21.664389169715307,0.5800492784072613,0.8557929620354592,0.806645125268925,0.8614107582262829,0.8772455089820359,0.8146341463414634,0.8614072494669509,0.8412829485102223,1
4,801.4601058316936,583.8111354711608,0.5042077294124171,0.5822686518338693,0.3555165330063098,0.5079498936543981,0.6826347305389222,0.43902439024390244,0.5074626865671642,0.48191169283152574,0
5,2106.8040195768103,4179.631450274454,0.525246323476284,0.21579238468984513,0.06807025617425985,0.06334600826117615,0.38023952095808383,0.14146341463414633,0.18976545842217485,0.1157362163750937,0
6,115680.70968192905,232285.5392292192,0.5019499321876488,0.158433825338468,0.10529384619142171,0.11130947508900266,0.32335329341317365,0.17560975609756097,0.2068230277185501,0.12501238220629748,0
7,48451.0011252065,59270.136284489934,0.5359195583853228,0.17426406657558066,0.031677018633540374,0.045220966084275435,0.3532934131736527,0.12439024390243902,0.18763326226012794,0.0837206837644655,0
8,78839.81458114227,174681.10530600054,0.7003284265548725,0.20953816933788838,0.09466805239105781,0.11080544219996624,0.36227544910179643,0.13902439024390245,0.16204690831556504,0.13833722130963746,0
