epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.5375785781391735,0.4614855726364211,0.0,0.9241253052213343,0.8382953693911238,0.9064494077657544,0.9341317365269461,0.8365853658536585,0.8933901918976546,0.8896233607927374,1
1,0.23894771729857464,0.21685623359210385,0.0,0.9104415425843998,0.8239716881782329,0.8947024683155861,0.9251497005988024,0.8439024390243902,0.8891257995735607,0.8763718996927395,0
2,0.16664169307137505,0.20792228130284202,0.0,0.9403889655194406,0.8879233594178411,0.9133177947088306,0.9491017964071856,0.8902439024390244,0.9040511727078892,0.9138767065487041,1
3,0.13301491369883267,0.1898542008376474,0.0,0.96381411627545,0.8955112842460391,0.930531887092488,0.9700598802395209,0.8975609756097561,0.9275053304904051,0.929952429204659,1
4,0.1076932991281372,0.1811524324229198,0.0,0.937694760299373,0.9134301486246421,0.9545021104112518,0.9461077844311377,0.9121951219512195,0.9488272921108742,0.935209006445089,1
5,0.10011187620149017,0.17657171270530211,0.0,0.9437338345965337,0.8363764201930542,0.9351522516923251,0.9491017964071856,0.8365853658536585,0.929637526652452,0.9050875021606376,0
6,0.07637827605321049,0.1755604591275671,0.0,0.9545147305245869,0.9047755018057717,0.9521150766719126,0.9610778443113772,0.9073170731707317,0.9466950959488273,0.9371351030007572,1
7,0.07580373878476068,0.1705359878211186,0.0,0.9525075093236488,0.9012559607791572,0.9445228913160507,0.9580838323353293,0.8975609756097561,0.9381663113006397,0.9327621204729523,0
8,0.07179969556060771,0.16657559625033674,0.0,0.9618299159027398,0.8792541876549559,0.9433738816199105,0.9670658682634731,0.8780487804878049,0.9402985074626866,0.9281526617258687,0
9,0.06989714559718159,0.170795763067424,0.0,0.9373494529084592,0.8706115795024115,0.923678178479624,0.9461077844311377,0.8731707317073171,0.929637526652452,0.9105464036301649,0
10,0.062000182762356665,0.16308315692864028,0.0,0.9558592471496817,0.8834583775199434,0.9369464760988263,0.9610778443113772,0.8853658536585366,0.929637526652452,0.9254213669228172,0
11,0.06754068397169043,0.1588299685511096,0.0,0.9622713767936294,0.8603475147458833,0.9429344873839557,0.9670658682634731,0.8658536585365854,0.9381663113006397,0.9218511263078227,0
