epoch,lr,loss,cls,val_acc,best
0,0.1,1.9419712059178584,1.9419712059178584,0.4016,1
1,0.09997532801828658,1.4751856880649883,1.4751856880649883,0.4974,1
2,0.09990133642141358,1.2291876371429857,1.2291876371429857,0.5556,1
3,0.099778098230154,1.0265457361851662,1.0265457361851662,0.6868,1
4,0.0996057350657239,0.8793516050376783,0.8793516050376783,0.6808,0
5,0.09938441702975688,0.7467077819370477,0.7467077819370477,0.7224,1
6,0.09911436253643444,0.6525108753106533,0.6525108753106533,0.7786,1
7,0.09879583809693737,0.5954587469753038,0.5954587469753038,0.7848,1
8,0.09842915805643156,0.5573968942518588,0.5573968942518588,0.7246,0
9,0.09801468428384716,0.5281693156798002,0.5281693156798002,0.8192,1
10,0.09755282581475769,0.5022222655281382,0.5022222655281382,0.7858,0
11,0.09704403844771128,0.4836678460792259,0.4836678460792259,0.7062,0
12,0.09648882429441258,0.4665390520523756,0.4665390520523756,0.8206,1
13,0.09588773128419906,0.45382323975746447,0.45382323975746447,0.8164,0
14,0.09524135262330098,0.4404350552718524,0.4404350552718524,0.8098,0
15,0.0945503262094184,0.42560270114501997,0.42560270114501997,0.823,1
16,0.09381533400219319,0.42205807940233125,0.42205807940233125,0.8122,0
17,0.0930371013501972,0.407261205746917,0.407261205746917,0.7866,0
18,0.09221639627510078,0.3963733217400363,0.3963733217400363,0.8022,0
19,0.09135402871372812,0.3889129936610192,0.3889129936610192,0.8532,1
20,0.09045084971874741,0.3862574458376974,0.3862574458376974,0.7694,0
21,0.08950775061878455,0.3701451561729453,0.3701451561729453,0.8394,0
22,0.0885256621387895,0.3652381448239682,0.3652381448239682,0.8404,0
23,0.08750555348152302,0.3564034167178336,0.3564034167178336,0.854,1
24,0.08644843137107061,0.34783814032363075,0.34783814032363075,0.8538,0
25,0.0853553390593274,0.34916347974216155,0.34916347974216155,0.8306,0
26,0.08422735529643446,0.3335214876636141,0.3335214876636141,0.8704,1
27,0.08306559326618262,0.3338172564394454,0.3338172564394454,0.8416,0
28,0.08187119948743452,0.3304881541392742,0.3304881541392742,0.8424,0
29,0.08064535268264886,0.32029526056642205,0.32029526056642205,0.875,1
30,0.0793892626146237,0.3162161400939664,0.3162161400939664,0.854,0
31,0.07810416889260657,0.3124426447937631,0.3124426447937631,0.854,0
32,0.07679133974894986,0.301596602228632,0.301596602228632,0.807,0
33,0.0754520707875186,0.2988280076162088,0.2988280076162088,0.8538,0
34,0.0740876837050858,0.2942701389222403,0.2942701389222403,0.865,0
35,0.07269952498697738,0.2811923511007912,0.2811923511007912,0.8318,0
36,0.07128896457825366,0.2867975787304745,0.2867975787304745,0.8662,0
37,0.06985739453173906,0.27176996793842045,0.27176996793842045,0.8616,0
38,0.06840622763423394,0.27247646998645914,0.27247646998645914,0.8438,0
39,0.06693689601226462,0.26843748044254434,0.26843748044254434,0.879,1
40,0.06545084971874741,0.2616163413663875,0.2616163413663875,0.8438,0
41,0.06394955530196152,0.25334259141714144,0.25334259141714144,0.8376,0
42,0.062434494358242776,0.2519598794713659,0.2519598794713659,0.8854,1
43,0.06090716206982718,0.24660074139847035,0.24660074139847035,0.8798,0
44,0.05936906572928628,0.23986831218258947,0.23986831218258947,0.8676,0
45,0.05782172325201159,0.23354407272532454,0.23354407272532454,0.8754,0
46,0.056266661678215264,0.22823978531734215,0.22823978531734215,0.8876,1
47,0.05470541566592575,0.225680987337376,0.225680987337376,0.845,0
48,0.053139525976465714,0.2128591880924002,0.2128591880924002,0.8652,0
49,0.05157053795390645,0.21138335698605262,0.21138335698605262,0.8704,0
50,0.05000000000000004,0.20245770505096158,0.20245770505096158,0.8588,0
51,0.04842946204609362,0.19946219016429026,0.19946219016429026,0.8826,0
52,0.04686047402353437,0.19077191835115437,0.19077191835115437,0.8784,0
