epoch,lr,loss,cls,val_acc,best
80,0.009549150281252642,0.1056444052543141,0.1056444052543141,0.9414,0
81,0.008645971286271922,0.09315326595493191,0.09315326595493191,0.9478,0
82,0.007783603724899264,0.09020721794045039,0.09020721794045039,0.9492,0
83,0.006962898649802819,0.07867461721548158,0.07867461721548158,0.9474,0
84,0.0061846659978068265,0.07249971439377365,0.07249971439377365,0.951,1
85,0.005449673790581615,0.06719371778863957,0.06719371778863957,0.9518,1
86,0.004758647376699036,0.060981449809063365,0.060981449809063365,0.9528,1
87,0.004112268715800957,0.058299781889933296,0.058299781889933296,0.9514,0
88,0.003511175705587435,0.051561639036590556,0.051561639036590556,0.9544,1
89,0.0029559615522887295,0.04747645480245182,0.04747645480245182,0.9544,0
90,0.0024471741852423253,0.0438335574911297,0.0438335574911297,0.9514,0
91,0.0019853157161528537,0.04287624361916867,0.04287624361916867,0.9556,1
92,0.0015708419435684529,0.039578415149626484,0.039578415149626484,0.9546,0
93,0.0012041619030626347,0.03778663928755838,0.03778663928755838,0.9556,0
94,0.0008856374635655646,0.035963084894972734,0.035963084894972734,0.957,1
95,0.0006155829702431174,0.03560777204416352,0.03560777204416352,0.9584,1
96,0.00039426493427611206,0.03526506655480702,0.03526506655480702,0.9584,0
97,0.00022190176984600036,0.03291978626618124,0.03291978626618124,0.9576,0
98,9.866357858642213e-05,0.032612120357217354,0.032612120357217354,0.9566,0
99,2.4671981713420017e-05,0.03276083814020022,0.03276083814020022,0.9572,0
