method,src_photo_f1,src_art_painting_f1,src_cartoon_f1,mean_src_f1,mean_src_acc,target_acc,target_f1,target_acc_change,separability
source_only,0.9673303966855572,0.8735961011705067,0.9592364866038123,0.9333876614866256,0.9322924279892034,0.6777806057520998,0.6821883135655525,0.0,0.9931318681318682
dan,0.9584157666773846,0.9036765770060394,0.9355630990637671,0.9325518142490637,0.9328624772401217,0.5920081445660473,0.5722776602152414,-0.08577246118605242,0.8379120879120879
dann,0.8557929620354592,0.806645125268925,0.8614107582262829,0.8412829485102223,0.8510956349301501,0.19699669127004327,0.05383475152205245,-0.4807839144820565,1.0
cdan,0.9495138246489223,0.8820797663736426,0.9351296022684875,0.9222410644303508,0.9234666762994891,0.6765080173072029,0.5872141708248609,-0.0012725884448968605,0.9903846153846154
