run,lambda_mmd,mean_src_f1,separability,target_acc
dan_lambda0.1,0.1,0.9468844943889083,0.8598901098901099,0.6846525833545432
dan,1.0,0.9325518142490637,0.8379120879120879,0.5920081445660473
dan_lambda10,10.0,0.05066996495567924,0.6085164835164835,0.04072283023670145
